rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
lodepng_chunk_find,src/lodepng.rs,1585,"(chunk: Option<&'a [u8]>, end: Option<&'a [u8]>, r#type: Option<&'a [u8]>) -> Option<&'a [u8]>",yes,,lodepng_chunk_find;lodepng_chunk_find_const,lodepng_chunk_generate_crc
unknown_function_name,src/lodepng.rs,1608,"(out: Option<&mut Ucvector>, data: Option<&LodePNGInfo>) -> u32",,,addUnknownChunks,addChunk_tRNS
update_hash_chain,src/lodepng.rs,1632,"(hash: Option<&mut Hash>, wpos: usize, hashval: u32, numzeros: u16) -> ()",,,encodeLZ77,getPixelColorsRGBA8
encode_lz77,src/lodepng.rs,1649,"(out: Option<&mut uivector>, hash: Option<&mut Hash>, input: Option<&c_char>, inpos: usize, insize: usize, windowsize: u32, minmatch: u32, nicematch: u32, lazymatching: u32) -> u32",,,,encodeLZ77
lodepng_set_icc,src/lodepng.rs,1664,"(info: Option<&mut LodePNGInfo>, name: Option<&str>, profile: Option<&[u8]>, profile_size: u32) -> u32",yes,,lodepng_clear_icc,lodepng_pixel_overflow
lodepng_clear_icc,src/lodepng.rs,1676,(info: Option<&mut LodePNGInfo>) -> (),yes,,,LodePNGIText_init
lodepng_mulofl,src/lodepng.rs,1678,"(a: usize, b: usize, out: Option<&mut usize>) -> u32",yes,,LodePNGUnknownChunks_init;LodePNGUnknownChunks_cleanup,lodepng_mulofl
LodePNGUnknownChunks_cleanup,src/lodepng.rs,1689,(info: Option<&LodePNGInfo>) -> (),yes,,,LodePNGIText_cleanup
LodePNGText_init,src/lodepng.rs,1698,(info: Option<&mut LodePNGInfo>) -> (),yes,,LodePNGText_init;LodePNGText_cleanup,LodePNGUnknownChunks_init
lodepng_add_text_sized,src/lodepng.rs,1710,"(info: Option<&mut LodePNGInfo>, key: Option<&c_char>, str_ptr: Option<&c_char>, size: usize) -> u32",yes,,lodepng_add_text_sized,LodePNGText_init
lodepng_add_text,src/lodepng.rs,1723,"(info: Option<&mut LodePNGInfo>, key: &str, str_: &str) -> u32",yes,,lodepng_add_text;LodePNGIText_init,readChunk_PLTE
lodepng_clear_text,src/lodepng.rs,1730,(info: Option<&mut LodePNGInfo>) -> (),yes,,,LodePNGText_cleanup
LodePNGIText_init,src/lodepng.rs,1733,(info: Option<&mut LodePNGInfo>) -> (),yes,,LodePNGIText_cleanup,lodepng_is_alpha_type
LodePNGIText_cleanup,src/lodepng.rs,1736,(info: Option<&mut LodePNGInfo>) -> (),yes,,,lodepng_has_palette_alpha
lodepng_clear_itext,src/lodepng.rs,1741,(info: Option<&mut LodePNGInfo>) -> (),yes,,lodepng_clear_itext;lodepng_add_itext_sized,lodepng_clear_text
lodepng_add_itext_sized,src/lodepng.rs,1748,"(info: Option<&mut LodePNGInfo>, key: Option<&c_char>, langtag: Option<&c_char>, transkey: Option<&c_char>, str_ptr: Option<&c_char>, size: usize) -> u32",yes,,,lodepng_add_itext_sized
lodepng_add_itext,src/lodepng.rs,1764,"(info: Option<&mut LodePNGInfo>, key: Option<&c_char>, langtag: Option<&c_char>, transkey: Option<&c_char>, str_ptr: Option<&c_char>) -> u32",yes,,lodepng_add_itext;lodepng_assign_icc,lodepng_add_itext
readChunk_bKGD,src/lodepng.rs,1781,"(info: Option<&mut LodePNGInfo>, data: Option<&[i8]>, chunkLength: usize) -> u32",yes,,readChunk_bKGD,readChunk_sBIT
