INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1038 inline 8-bit counters): 1038 [0x56357849a4f0, 0x56357849a8fe), 
INFO: Loaded 1 PC tables (1038 PCs): 1038 [0x56357849a900,0x56357849e9e0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545329.dir
#3335843: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60659 time: 3599s job: 60660 dft_time: 0
==221497== ERROR: libFuzzer: deadly signal
#3335847: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60660 time: 3599s job: 60661 dft_time: 0
==221562== ERROR: libFuzzer: deadly signal
#3335855: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60661 time: 3599s job: 60662 dft_time: 0
==221633== ERROR: libFuzzer: deadly signal
#3335859: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60662 time: 3599s job: 60663 dft_time: 0
==221713== ERROR: libFuzzer: deadly signal
#3336077: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60663 time: 3599s job: 60664 dft_time: 0
==221769== ERROR: libFuzzer: deadly signal
#3336308: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60664 time: 3599s job: 60665 dft_time: 0
==221854== ERROR: libFuzzer: deadly signal
#3336312: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60665 time: 3599s job: 60666 dft_time: 0
==221910== ERROR: libFuzzer: deadly signal
#3336330: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60666 time: 3599s job: 60667 dft_time: 0
==221967== ERROR: libFuzzer: deadly signal
#3336346: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60667 time: 3599s job: 60668 dft_time: 0
==222028== ERROR: libFuzzer: deadly signal
#3336350: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60668 time: 3600s job: 60669 dft_time: 0
==222077== ERROR: libFuzzer: deadly signal
INFO: fuzzed for 3600 seconds, wrapping up soon
INFO: exiting: 77 time: 3600s
